id,nombre,created_at,updated_at
1,Motocicleta,2024-04-17 00:00:00,2024-04-17 00:00:00
2,Automóvil,2024-04-17 00:00:00,2024-04-17 00:00:00
3,Camioneta,2024-04-17 00:00:00,2024-04-17 00:00:00
4,Camión,2024-04-17 00:00:00,2024-04-17 00:00:00
5,Bus,2024-04-17 00:00:00,2024-04-17 00:00:00
6,Bicicleta,2024-04-17 00:00:00,2024-04-17 00:00:00
7,Motocicleta Deportiva,2024-04-17 00:00:00,2024-04-17 00:00:00
8,Automóvil Familiar,2024-04-17 00:00:00,2024-04-17 00:00:00
9,Camioneta SUV,2024-04-17 00:00:00,2024-04-17 00:00:00
10,Camión Articulado,2024-04-17 00:00:00,2024-04-17 00:00:00
